ID Score    
P46778 4.7232645909685475e+91
P07910 4.687406754249721e+91
P62847 4.676807331663788e+91
P23246 4.668994425045973e+91
P05387 4.625588275121221e+91
P35268 4.615224421426901e+91
P52597 4.589656760517426e+91
P35579 4.5762100432128125e+91
Q9Y265 4.565795837074736e+91
Q92841 4.520299462014733e+91
Q13619 4.495956368616819e+91
P05141 4.4552751174577496e+91
P46776 4.441372700750241e+91
P06733 4.418488954803607e+91
P78371 4.3809425993689744e+91
O75533 4.362862114245834e+91
P46940 4.348712541715346e+91
Q00610 4.3485864028914816e+91
P16104 4.3441238856582046e+91
P42766 4.3378070149662116e+91
P49368 4.3039414374148775e+91
Q12800 4.290379992035664e+91
Q13547 4.286367451518308e+91
P32121 4.249157022364638e+91
Q14974 4.152037268687363e+91
P06576 4.1420982130313076e+91
P11441 4.021343539801116e+91
Q9NZC7 4.019119343897466e+91
P33992 3.9959358268345234e+91
P04908 3.988067957697424e+91
O95376 3.972982743072398e+91
Q9UBN7 3.972246722555201e+91
P26599 3.9604080744609304e+91
Q9Y3U8 3.95413037954119e+91
Q9UHD9 3.921213661954712e+91
P04406 3.912009708433416e+91
P14618 3.885208945551466e+91
P08559 3.876213103393363e+91
P25788 3.8690831247792324e+91
Q13501 3.8435034748414254e+91
Q16531 3.83102471069441e+91
O75643 3.819990961584739e+91
Q86V81 3.8086016066658724e+91
Q71U36 3.788583101600312e+91
Q99714 3.765571885262527e+91
P40429 3.759511626571532e+91
Q07955 3.7575291400710266e+91
P09622 3.734097317931639e+91
P49411 3.7328390880431116e+91
P30153 3.7203666282249774e+91
P61513 3.689960467605552e+91
P35226 3.674652512649399e+91
P51991 3.673255373679563e+91
P17987 3.645767712221619e+91
P63279 3.634072641869936e+91
Q15393 3.611304557415277e+91
P08670 3.604986167873742e+91
Q6NUN9 3.603255194074784e+91
Q9BQA1 3.569590922059305e+91
P09429 3.560144474304601e+91
P50990 3.53928065676138e+91
P25398 3.538631222780967e+91
P62993 3.532801164424492e+91
P24928 3.5069437412696434e+91
Q9BQE3 3.5064283482096816e+91
Q15233 3.496548870513613e+91
Q9NR30 3.484856224819979e+91
P42677 3.479298451563172e+91
Q99623 3.458748170348672e+91
P10398 3.4479484474250034e+91
P31689 3.44289709641606e+91
Q92804 3.433553307666717e+91
P68371 3.4221880837747034e+91
P62854 3.393637238137571e+91
P40227 3.347845781434877e+91
P50991 3.3404266670361896e+91
Q8NC51 3.340262529605258e+91
Q9NS91 3.334932362586955e+91
Q9UMS4 3.311922542797985e+91
P12830 3.2924553585339234e+91
P21333 3.286901988582973e+91
P11387 3.283933972464783e+91
Q13310 3.276930052562219e+91
Q9UNN5 3.275440781374535e+91
Q14498 3.2434684569916607e+91
Q92499 3.2429968810791973e+91
P55209 3.2029529707215265e+91
P46087 3.2021987303618506e+91
P05386 3.1991759303924627e+91
Q13127 3.1843110021434756e+91
P48643 3.1594902123147375e+91
Q6P1J9 3.1564828172116794e+91
P40337 3.1558156519082444e+91
P21796 3.13238694032372e+91
P14625 3.123577090217052e+91
Q9HCE7 3.1210651416706664e+91
Q93009 3.1160628628621713e+91
P06493 3.1153715925282756e+91
P12004 3.103562682316685e+91
P84103 3.0797179833325556e+91
Q9Y3I1 3.0720331073903865e+91
P62841 3.0146958840399838e+91
P46779 2.9803449063308134e+91
O14965 2.9795126407995437e+91
Q9BQG0 2.9783011369721458e+91
Q96PK6 2.9677960644332132e+91
P63173 2.9649772830818346e+91
P62314 2.9628490941702804e+91
P0CW22 2.960247058680107e+91
Q16665 2.9587385744811336e+91
P33778 2.9462401928760507e+91
Q99832 2.918875766292953e+91
P23258 2.9188032981947507e+91
P26641 2.918180507468103e+91
P31946 2.9149584643369526e+91
P04843 2.902507374992688e+91
P52292 2.8973333382529287e+91
P42704 2.8720603309803495e+91
Q00325 2.863114497582787e+91
P62316 2.8428720368154433e+91
P27708 2.8066141745695604e+91
O00487 2.798297481995181e+91
P61981 2.7744977683214085e+91
Q86UK7 2.755961230243752e+91
O14744 2.7531243949942732e+91
Q96EP0 2.737192535076717e+91
Q13200 2.731849868502661e+91
Q13151 2.7306100434167428e+91
P38159 2.7263334185324552e+91
P62195 2.7222866481688596e+91
Q5S007 2.7214572057008367e+91
P07814 2.6954404221516185e+91
Q9UBS0 2.6912070558235306e+91
Q07021 2.6841671445669637e+91
Q15843 2.6751993323435264e+91
Q13838 2.6651094896726853e+91
Q12888 2.638599735993389e+91
Q99460 2.63578701107933e+91
P62910 2.6311938946047247e+91
Q5XPI4 2.6289557760997055e+91
Q09028 2.624783295604065e+91
P50402 2.6210132532147212e+91
O95831 2.61798627485602e+91
O60216 2.612689719858846e+91
Q7Z2W4 2.610848133904464e+91
P40939 2.5864365971482858e+91
Q16543 2.5671114122106356e+91
Q13435 2.555973221087419e+91
Q14676 2.550632074073783e+91
P62318 2.5360788147413983e+91
Q99729 2.5337764788075636e+91
Q7KZF4 2.5172961378376597e+91
Q9Y2W1 2.5160206430737488e+91
Q15459 2.509859028479268e+91
P33993 2.5011548046559445e+91
P55769 2.4865750624558412e+91
Q06830 2.4723054046563637e+91
O43175 2.4711107809954002e+91
P34897 2.436886199471749e+91
P56524 2.4361944684951054e+91
O14979 2.4118130999237335e+91
Q99986 2.4100194781596227e+91
P31749 2.392128248396952e+91
P51532 2.3832214943109274e+91
P78362 2.3741860061245675e+91
Q9BUJ2 2.3708526251864015e+91
Q92900 2.361259663778597e+91
P61254 2.3596097482930334e+91
P62158 2.3542190136394522e+91
P49327 2.3503381194315105e+91
P29692 2.34477863021809e+91
Q9BV73 2.3436171386179748e+91
P18077 2.3419977066515325e+91
P60842 2.3368052316608627e+91
P56537 2.335416299594994e+91
