ID	Score  
P05783	135.0
O00303	135.0
P08574	135.0
P63010	135.0
Q92616	135.0
Q14247	135.0
Q9UBU8	135.0
Q15149	135.0
P51608	135.0
Q9Y266	135.0
P00387	135.0
Q13151	135.0
Q9NQ29	135.0
Q13064	135.0
P26038	134.0
Q14847	134.0
Q9Y4A5	134.0
O95782	134.0
P57678	134.0
P61019	134.0
Q14980	133.0
O00410	133.0
O94906	133.0
P28074	133.0
O15355	133.0
Q9BUZ4	132.0
Q9GZT8	132.0
Q15366	132.0
P51665	132.0
P51617	132.0
P60228	132.0
P07947	132.0
Q9UKV3	131.0
O95983	131.0
P31930	131.0
Q86VS8	131.0
Q9H307	131.0
Q9H8V3	131.0
Q92878	131.0
O00425	131.0
P30041	131.0
Q8IUR7	131.0
P16070	131.0
P28070	131.0
Q13131	131.0
Q13042	131.0
P53618	130.0
P09493	130.0
P0C0S5	130.0
P28340	130.0
O96028	130.0
O00422	130.0
O00165	130.0
P61201	130.0
Q14134	130.0
Q15349	130.0
Q03164	130.0
O43889	130.0
P62879	130.0
Q01094	130.0
P84077	130.0
Q9H3M7	129.0
Q9UJ41	129.0
Q99613	129.0
Q15046	129.0
Q15007	129.0
P49759	129.0
Q93074	129.0
Q9NPG2	129.0
Q9H4L7	128.0
P22234	128.0
Q9BYD3	128.0
P16989	128.0
Q15084	128.0
O43542	128.0
P63220	128.0
Q16778	128.0
Q8TES7	128.0
Q8TDN6	128.0
P24539	128.0
Q15831	128.0
P50613	128.0
P29317	128.0
Q9BUN8	127.0
Q9UK80	127.0
O75340	127.0
Q8WUM4	127.0
P21580	127.0
P60896	127.0
Q9UNM6	127.0
Q6W2J9	127.0
Q9BVP2	127.0
Q9NP66	127.0
O60573	127.0
P19367	127.0
P18206	127.0
P51610	127.0
P52907	127.0
O75251	127.0
O95644	127.0
P19793	127.0
P42285	127.0
O15371	127.0
P30279	127.0
Q96AE4	126.0
Q7Z434	126.0
P10412	126.0
P12755	126.0
P52701	126.0
P02786	126.0
P50570	126.0
Q15418	126.0
P14868	126.0
P82933	126.0
Q96HS1	126.0
P98175	126.0
O43852	126.0
Q13233	126.0
Q01130	126.0
P49721	126.0
Q9UKV5	125.0
Q6NZI2	125.0
Q92597	125.0
O75369	125.0
P09234	125.0
Q13428	125.0
O75925	125.0
O00264	125.0
P04844	125.0
P63151	125.0
Q09666	125.0
Q15427	125.0
Q8TF42	125.0
